Route ID,Route Description,Route Description Marathi,Kilometer
100-D,Hinjawadi Maan Phase 3 To Ma Na Pa,हिंजवडी माण फेज ३ ते मनपा,26.4
100-U,Ma Na Pa To Hinjawadi Maan Phase 3,मनपा ते हिंजवडी माण फेज ३,26.4
101-D,Kondhwa Bk To Kothrud Depot,कोंढवा बु. ते कोथरुड डेपो,16.2
101-U,Kothrud Depot To Kondhwa Bk,कोथरुड डेपो ते कोंढवा बु.,16.2
102-D,Lohgaon To Kothrud Depot,लोहगांव ते कोथरुड डेपो,23.6
102-U,Kothrud Depot To Lohgaon,कोथरुड डेपो ते लोहगांव,23.6
103A-D,Hinjawadi Maan Phase 3 To Katraj (Vai Kothrud Depo),हिंजवडी माण फेज ३ ते कात्रज (मार्गे कोथरूड डेपो ),36.6
103A-U,Katraj To Hinjawadi Maan Phase 3 (Vai Kothrud Depo),कात्रज ते हिंजवडी माण फेज ३  (मार्गे कोथरूड डेपो ),36.6
103B-D,Swargate To Katraj,स्वारगेट ते कात्रज,6.1
103B-U,Katraj To Swargate,कात्रज ते स्वारगेट,6.1
103C-D,Hinjawadi Maan Phase 3 To Swargate,हिंजवडी माण फेज ३ ते स्वारगेट,30.5
103C-U,Swargate To Hinjawadi Maan Phase 3,स्वारगेट ते हिंजवडी माण फेज ३,30.5
103-D,Kothrud Depot To Katraj,कोथरुड डेपो ते कात्रज,14.3
103-U,Katraj To Kothrud Depot,कात्रज ते कोथरुड डेपो,14.3
104-D,DSK Vishwa To Deccan Gymkhana,डि.एस.के. विश्व ते डेक्कन जिमखाना,15.4
104-U,Deccan Gymkhana To DSK Vishwa,डेक्कन जिमखाना ते डि.एस.के. विश्व,15.4
105-D,   Balewadi Depot To Deccan Gymkhana, बालेवाडी डेपो ते डेक्कन जिमखाना,16.8
105-U,Deccan Gymkhana To  Balewadi Depot,डेक्कन जिमखाना ते बालेवाडी डेपो    ,16.8
106-R,Galinde Path To Galinde Path,गालिंदे पथ ते गालिंदे पथ,21.3
107-D,Pimplegurav To Deccan Gymkhana,पिंपळे गुरव ते डेक्कन जिमखाना,14.4
107-U,Deccan Gymkhana To Pimplegurav,डेक्कन जिमखाना ते पिंपळे गुरव,14.4
108-D,Pune Station To Sutardara,पुणे स्टेशन ते सुतारदरा,12.3
108-U,Sutardara To Pune Station,सुतारदरा ते पुणे स्टेशन,12.3
109-R,Ma Na Pa To Ma Na Pa,मनपा ते मनपा,21
10-D,Keshavnagar To Swargate,केशवनगर ते स्वारगेट,15
10-U,Swargate To Keshavnagar,स्वारगेट ते केशवनगर,15
110-R,Ma Na Pa To Ma Na Pa,मनपा ते मनपा,21
111-D,Ma Na Pa To Bhekrainagar,मनपा ते भेकराई नगर,17.3
111-U,Bhekrainagar To Ma Na Pa,भेकराई नगर ते मनपा,17.3
112-D,Mandai To Kothrud Depot,महात्मा फुले मंडई ते कोथरुड डेपो,8
112-U,Kothrud Depot To Mandai,कोथरुड डेपो ते महात्मा फुले मंडई,8
113A-D,Pimplegurav To Appa Balawant Chowk,पिंपळे गुरव ते अप्पा बळवंत चौक,13.3
113A-U,Appa Balawant Chowk To Pimplegurav,अप्पा बळवंत चौक ते पिंपळे गुरव,13.3
113B-D,Pimplegurav To Ma Na Pa,पिंपळे गुरव ते मनपा,12.6
113B-U,Ma Na Pa To Pimplegurav,मनपा ते पिंपळे गुरव,12.6
113-D,Vasantdada Putala Sangvi To Appa Balawant Chowk,वंसतदादा पुतळा सांगवी ते अप्पा बळवंत चौक,10.9
113-U,Appa Balawant Chowk To Vasantdada Putala Sangvi,अप्पा बळवंत चौक ते वंसतदादा पुतळा सांगवी,10.9
114-D,Mhalungegaon To Ma Na Pa,म्हाळुंगे गांव ते मनपा,12.5
114-U,Ma Na Pa To Mhalungegaon,मनपा ते म्हाळुंगे गांव,12.5
115P-D,Hinjawadi Maan Phase 3 To Pune Station,हिंजवडी माण फेज ३ ते पुणे स्टेशन,29
115P-U,Pune Station To Hinjawadi Maan Phase 3,पुणे स्टेशन ते हिंजवडी माण फेज ३,29
116-D,Khadki Bazar To Ma Na Pa,खडकी बाजार ते मनपा,10.8
116-U,Ma Na Pa To Khadki Bazar,मनपा ते खडकी बाजार,10.8
117A-D,DSK Vishwa To Swargate,डि.एस.के. विश्व ते स्वारगेट,12.6
117A-U,Swargate To DSK Vishwa,स्वारगेट ते डि.एस.के. विश्व,12.6
117B-D,Shree Control To Swargate,श्री कंट्रोल ते स्वारगेट,11.7
117B-U,Swargate To Shree Control,स्वारगेट ते श्री कंट्रोल,11.7
117C-D,Raykarmala To Swargate,रायकरमळा ते स्वारगेट,13.5
117C-U,Swargate To Raykarmala,स्वारगेट ते रायकरमळा,13.5
117-D,Dhayari Maruti Mandir To Swargate,धायरी मारूती मंदिर ते स्वारगेट,12.2
117-U,Swargate To Dhayari Maruti Mandir,स्वारगेट ते धायरी मारूती मंदिर,12.2
117D-U,Swargate To Saritanagari,स्वारगेट ते सरितानगरी,5
117E-D,Shaniwarwada Stand To Saritanagari,शनिवारवाडा स्‍टॅण्ड ते सरितानगरी,7
117F-U,Shaniwarwada To Dhayari Maruti Mandir,शनिवारवाडा ते धायरी मारूती मंदिर,13.6
118-7A-D,Swargate To Marketyard,स्वारगेट ते मार्केटयार्ड,3.1
118-7A-U,Marketyard To Swargate,मार्केटयार्ड ते स्वारगेट,3.1
118-7-D,Venutai Chavan College To Swargate,वेणुताई कॉलेज ते स्वारगेट,9.4
118-7-U,Swargate To Venutai Chavan College,स्वारगेट ते वेणुताई कॉलेज,9.4
118A-D,Suncity To Swargate,सनसिटी ते स्वारगेट,6
118A-U,Swargate To Suncity,स्वारगेट ते सनसिटी,6
118B-D,Vadgaon Bk To Swargate,वडगाव बु. ते स्वारगेट,7
118B-U,Swargate To Vadgaon Bk,स्वारगेट ते वडगाव बु.,7
118C-D,Nanded To Swargate,नांदेड ते स्वारगेट,11.2
